# true_positive_rate, false_positive_rate, detected_centers_rate
4.615384615384615641e-01,5.384615384615384359e-01,5.999999999999999778e-01
4.000000000000000222e-01,5.999999999999999778e-01,5.999999999999999778e-01
5.999999999999999778e-01,4.000000000000000222e-01,9.000000000000000222e-01
6.999999999999999556e-01,2.999999999999999889e-01,6.999999999999999556e-01
3.846153846153846367e-01,6.153846153846154188e-01,5.000000000000000000e-01
5.384615384615384359e-01,4.615384615384615641e-01,6.999999999999999556e-01
5.999999999999999778e-01,4.000000000000000222e-01,5.999999999999999778e-01
5.999999999999999778e-01,4.000000000000000222e-01,9.000000000000000222e-01
6.999999999999999556e-01,2.999999999999999889e-01,6.999999999999999556e-01
8.000000000000000444e-01,2.000000000000000111e-01,8.000000000000000444e-01
6.363636363636363535e-01,3.636363636363636465e-01,6.999999999999999556e-01
7.272727272727272929e-01,2.727272727272727071e-01,8.000000000000000444e-01
2.000000000000000111e-01,8.000000000000000444e-01,4.000000000000000222e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.999999999999999778e-01
7.500000000000000000e-01,2.500000000000000000e-01,9.000000000000000222e-01
