# true_positive_rate, false_positive_rate, detected_centers_rate
2.187500000000000000e-01,7.812500000000000000e-01,1.399999999999999911e+00
2.500000000000000000e-01,7.500000000000000000e-01,1.399999999999999911e+00
1.791044776119402882e-01,8.208955223880597396e-01,1.199999999999999956e+00
2.127659574468085124e-01,7.872340425531915153e-01,1.000000000000000000e+00
2.166666666666666741e-01,7.833333333333333259e-01,1.300000000000000044e+00
1.774193548387096864e-01,8.225806451612903691e-01,1.100000000000000089e+00
2.448979591836734637e-01,7.551020408163264808e-01,1.199999999999999956e+00
1.617647058823529493e-01,8.382352941176470784e-01,1.100000000000000089e+00
2.452830188679245293e-01,7.547169811320755262e-01,1.300000000000000044e+00
2.553191489361701927e-01,7.446808510638297518e-01,1.199999999999999956e+00
2.500000000000000000e-01,7.500000000000000000e-01,1.600000000000000089e+00
1.969696969696969613e-01,8.030303030303029832e-01,1.300000000000000044e+00
1.585365853658536606e-01,8.414634146341463117e-01,1.300000000000000044e+00
2.931034482758620441e-01,7.068965517241379004e-01,1.699999999999999956e+00
2.291666666666666574e-01,7.708333333333333703e-01,1.100000000000000089e+00
