# true_positive_rate, false_positive_rate, detected_centers_rate
3.529411764705882582e-01,6.470588235294117974e-01,5.999999999999999778e-01
3.499999999999999778e-01,6.500000000000000222e-01,6.999999999999999556e-01
5.000000000000000000e-01,5.000000000000000000e-01,9.000000000000000222e-01
4.666666666666666741e-01,5.333333333333333259e-01,6.999999999999999556e-01
2.500000000000000000e-01,7.500000000000000000e-01,5.000000000000000000e-01
3.200000000000000067e-01,6.800000000000000488e-01,8.000000000000000444e-01
5.333333333333333259e-01,4.666666666666666741e-01,8.000000000000000444e-01
3.333333333333333148e-01,6.666666666666666297e-01,1.000000000000000000e+00
5.000000000000000000e-01,5.000000000000000000e-01,6.999999999999999556e-01
5.333333333333333259e-01,4.666666666666666741e-01,8.000000000000000444e-01
3.888888888888888951e-01,6.111111111111111605e-01,6.999999999999999556e-01
6.428571428571429047e-01,3.571428571428571508e-01,9.000000000000000222e-01
1.428571428571428492e-01,8.571428571428570953e-01,4.000000000000000222e-01
2.777777777777777901e-01,7.222222222222222099e-01,5.000000000000000000e-01
5.625000000000000000e-01,4.375000000000000000e-01,9.000000000000000222e-01
