# true_positive_rate, false_positive_rate, detected_centers_rate
8.571428571428570953e-01,1.428571428571428492e-01,5.999999999999999778e-01
1.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000222e-01
1.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01
8.000000000000000444e-01,2.000000000000000111e-01,4.000000000000000222e-01
8.888888888888888395e-01,1.111111111111111049e-01,8.000000000000000444e-01
1.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01
8.571428571428570953e-01,1.428571428571428492e-01,5.999999999999999778e-01
1.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01
1.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01
7.500000000000000000e-01,2.500000000000000000e-01,5.999999999999999778e-01
8.750000000000000000e-01,1.250000000000000000e-01,6.999999999999999556e-01
5.000000000000000000e-01,5.000000000000000000e-01,2.000000000000000111e-01
1.000000000000000000e+00,0.000000000000000000e+00,5.999999999999999778e-01
